track_id,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
305AMS2fhp16LoYxKiYsXF,Night,Born To Run,Bruce Springsteen,1975-08-25,180226,50,0.245,0.1,0.892,0.00783,0.0938,-4.223,0.0374,146.756,4
7jOVz43pU3sGMbKdoSBeWU,Sea Of Heartbreak,The List,Rosanne Cash,2009-01-01,186226,48,0.623,0.745,0.567,2.49e-05,0.113,-7.578,0.0431,88.969,4
1k7CqKKwQu4zIK6DrsuqKG,Out In the Street,The River,Bruce Springsteen,1980-10-17,257600,49,0.44,0.148,0.931,0.0,0.163,-7.205,0.0592,144.628,4
6fBy4h0spon7gkmZroCRmR,Darkness On the Edge of Town,Darkness On the Edge of Town,Bruce Springsteen,1978-06-02,272426,50,0.369,0.0218,0.515,0.0,0.0556,-9.318,0.0396,171.334,4
2D9YnxyNwj7qqA1JLyKYPR,Spirit in the Night,"Greetings from Asbury Park, N.J.",Bruce Springsteen,1973-01-05,298400,49,0.493,0.377,0.723,1.23e-05,0.289,-6.552,0.0813,124.58,4
7IY2JF7AlVN5uvIUBVnSJd,Chinatown,Chinatown,Bleachers,2020-11-16,247968,51,0.442,0.00458,0.689,0.0,0.11,-5.289,0.0251,89.001,3
5JgS0FY22HtNpFAJTo507k,Sherry Darling,The River,Bruce Springsteen,1980-10-17,243173,48,0.547,0.119,0.944,0.000244,0.409,-6.665,0.0398,139.213,4
3eh51r6rFWAlGQRlHx9QnQ,Push Ups,Push Ups,Drake,2024-04-19,232774,79,0.598,0.0153,0.696,0.0,0.219,-4.789,0.112,91.057,4
3QS9ZCtoSCJhmaJ7QNXSAS,act ii: date @ 8 (feat. Drake) - remix,act ii: date @ 8 (feat. Drake) [remix],4batz,2024-03-08,231338,76,0.55,0.318,0.545,0.0,0.0608,-9.304,0.163,102.469,4
2FBo7mg3It3YOefMhBKk60,You Broke My Heart,For All The Dogs Scary Hours Edition,Drake,2023-11-17,230709,60,0.465,0.191,0.713,0.0,0.299,-5.205,0.0796,123.872,4
6ltWTSzsV2TaSsOhoA8eBC,First Person Shooter (feat. J. Cole),For All The Dogs Scary Hours Edition,Drake,2023-11-17,247444,56,0.48,0.0233,0.634,0.0,0.383,-7.396,0.322,164.005,4
67nepsnrcZkowTxMWigSbb,MELTDOWN (feat. Drake),UTOPIA,Travis Scott,2023-07-28,246133,78,0.557,0.012,0.774,0.0,0.396,-5.275,0.351,111.975,4
3RaCGXCiiMufRPoexXxGkV,Slime You Out (feat. SZA),Slime You Out,Drake,2023-09-15,310490,67,0.483,0.508,0.408,0.0,0.259,-9.243,0.0502,88.88,3
1L0OmJV0LnPDWuHCIGmBV6,On The Radar Freestyle,On The Radar Freestyle,Drake,2023-07-26,275280,66,0.615,0.108,0.632,0.0,0.129,-8.539,0.292,150.126,4
