track_id,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,favorite
6GG4yyk3UATdBfTHVgI8PB,210950,84,0.487,0.00877,0.658,0.00777,0.1,-9.973,0.0296,142.18,4,0
6w7OpHp3Y3ByHzmfQXYCRN,189786,69,0.494,0.0266,0.956,3.58e-05,0.665,-4.67,0.0729,171.977,4,0
2FQrifJ1N335Ljm3TjTVVf,171291,92,0.722,0.0633,0.709,0.0,0.0804,-4.95,0.0273,81.012,4,0
6tWGe6nvXFWT0KhGCXM89q,192693,79,0.52,0.00801,0.8,0.0,0.303,-4.256,0.041,93.155,4,0
2g6WCOlZS7mePH81Bxxa9s,153520,67,0.369,0.159,0.688,0.0,0.353,-4.171,0.0358,170.147,4,0
6VpH2prT3NGiK5pnpG2L3J,183919,72,0.444,0.0361,0.727,0.0,0.114,-5.177,0.0394,79.912,4,0
2JyM1u6xSHBJVpbeFrC4B5,170240,68,0.593,0.0139,0.903,0.0,0.104,-4.803,0.0477,116.093,4,0
2ObBVRY8a2lnAkNG62u9eC,163894,74,0.722,0.153,0.725,0.0,0.393,-4.41,0.037,128.007,4,0
727x6SZXGF0LfU2vi3rjaH,165000,74,0.798,0.181,0.606,0.0,0.391,-6.28,0.0338,120.063,4,0
0ggDc6CDfUzXHiIvO3WeFw,182086,69,0.453,0.132,0.632,0.0,0.329,-4.083,0.0294,77.035,4,0
1KtQmheytoTI6kOM8yCowf,186973,69,0.406,0.0889,0.843,0.0,0.158,-5.124,0.0526,150.054,4,0
119cU5gffLzRlsEGSshPNQ,164264,66,0.602,0.00216,0.89,0.0,0.18,-4.114,0.0409,104.012,4,0
4k0pqjIpfO7WV3eFUTgL9m,222466,74,0.489,0.0143,0.608,0.0,0.193,-5.329,0.0274,148.117,3,0
2h9qRt8R214yJEBfoPAv3B,211991,68,0.538,0.011,0.672,0.0,0.224,-4.061,0.0339,123.925,3,0
6hCei3LDTNFZ5y0o30WjjN,210000,68,0.666,0.765,0.358,0.0,0.0748,-7.407,0.033,129.893,4,0
1osfLqL6L2iQsirRf83ded,220558,74,0.366,0.0899,0.492,0.000994,0.132,-7.9,0.0324,197.768,3,0
1t2MQpMDtJT5VL2tAPHrGN,230600,77,0.442,0.602,0.603,0.0,0.161,-5.719,0.0304,86.494,4,0
7Fzl7QaTu47WyP9R5S5mh5,198068,87,0.486,0.239,0.702,7.54e-05,0.0912,-5.758,0.0298,81.053,4,0
1kMWJ16W3Yk3hyNmaM7jfQ,195157,77,0.462,0.509,0.569,0.0,0.12,-7.908,0.0321,95.117,4,0
7iQMm50NNwlUIRWhONZR2k,166040,83,0.572,0.512,0.722,1.12e-06,0.124,-5.818,0.0363,171.857,4,0
36wAwEkSDpNQ4oQeRLYC3L,235002,74,0.593,0.02,0.734,0.0,0.138,-5.416,0.0514,125.937,4,0
73KAidtqbDftZjy8AD0H04,179413,81,0.614,0.0839,0.743,0.0,0.107,-5.046,0.0313,138.077,4,0
1YhTK4LOmqLusIf4tPwtW5,179900,40,0.612,0.859,0.148,1.84e-06,0.129,-11.947,0.0284,135.935,4,0
